time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-04T03:19:11.876Z,-18.135,-178.0888,545.264,4.5,mb,60,41,3.694,0.62,us,us6000k1v0,2023-04-04T23:30:26.040Z,"274 km E of Levuka, Fiji",earthquake,10.15,6.319,0.043,159,reviewed,us,us
2023-04-04T02:11:58.144Z,16.1556,-96.9475,29.61,5.4,mww,105,78,2.088,0.54,us,us6000k1uw,2023-04-10T21:41:18.914Z,"11 km SW of San Jerónimo Coatlán, Mexico",earthquake,8.25,3.425,0.043,53,reviewed,us,us
2023-04-04T01:12:09.333Z,4.5928,127.3429,61.021,4.5,mb,36,135,3.022,0.34,us,us6000k1us,2023-04-04T21:01:29.040Z,"226 km ESE of Sarangani, Philippines",earthquake,4.29,8.231,0.106,26,reviewed,us,us
2023-04-03T22:00:22.643Z,14.5621,56.3953,10,5.3,mww,104,66,10.331,1.02,us,us6000k1u2,2023-04-10T00:26:24.040Z,"Owen Fracture Zone region",earthquake,4.04,1.804,0.098,10,reviewed,us,us
2023-04-03T21:46:42.873Z,-21.3913,-66.6956,220.785,5.1,mww,118,19,2.074,1.24,us,us6000k1ty,2023-04-10T01:03:14.040Z,"70 km SW of Atocha, Bolivia",earthquake,6.17,4.208,0.055,32,reviewed,us,us
2023-04-03T21:44:14.400Z,14.4164,56.3141,10,5.5,mww,94,40,10.475,0.52,us,us6000k1u1,2023-04-10T00:43:31.121Z,"Owen Fracture Zone region",earthquake,8.67,1.819,0.078,16,reviewed,us,us
2023-04-03T21:34:46.014Z,14.4993,56.2862,10,5.5,mww,93,39,10.392,0.55,us,us6000k1tw,2023-04-10T01:18:38.624Z,"Owen Fracture Zone region",earthquake,9.31,1.823,0.062,25,reviewed,us,us
2023-04-03T20:50:32.439Z,-8.2257,123.8248,178.21,5,mb,94,54,1.581,0.75,us,us6000k1tm,2023-04-07T19:21:41.040Z,"124 km NNW of Pante Makasar, Timor Leste",earthquake,7.39,1.884,0.045,160,reviewed,us,us
2023-04-03T14:59:42.316Z,0.8854,98.8409,84.516,6.1,mww,126,48,1.332,0.92,us,us6000k1qa,2023-04-04T15:05:58.974Z,"72 km SW of Padangsidempuan, Indonesia",earthquake,6.21,4.859,0.062,25,reviewed,us,us
2023-04-03T12:36:06.553Z,12.2693,-89.3896,10,5,mww,75,150,1.501,0.71,us,us6000k1pd,2023-04-03T13:49:51.363Z,"135 km S of La Libertad, El Salvador",earthquake,7.75,1.883,0.051,37,reviewed,us,us
